2022 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place NSW[Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:07 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0],,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,58,Oatley,37018,COLEMAN,David,1,Y,Y,LP,Liberal,854,-6.82
NSW,103,Banks,58,Oatley,36774,SOON,Zhi,7,N,N,ALP,Labor,814,6.82
NSW,103,Banks,83630,Oatley East,37018,COLEMAN,David,1,Y,Y,LP,Liberal,427,0.77
NSW,103,Banks,83630,Oatley East,36774,SOON,Zhi,7,N,N,ALP,Labor,277,-0.77
NSW,103,Banks,59,Oatley West,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1013,-7.15
NSW,103,Banks,59,Oatley West,36774,SOON,Zhi,7,N,N,ALP,Labor,917,7.15
NSW,103,Banks,7,Padstow,37018,COLEMAN,David,1,Y,Y,LP,Liberal,951,1.61
NSW,103,Banks,7,Padstow,36774,SOON,Zhi,7,N,N,ALP,Labor,861,-1.61
NSW,103,Banks,58722,Padstow BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,5823,-2.8
NSW,103,Banks,58722,Padstow BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,4461,2.8
NSW,103,Banks,8,Padstow East,37018,COLEMAN,David,1,Y,Y,LP,Liberal,647,-0.01
NSW,103,Banks,8,Padstow East,36774,SOON,Zhi,7,N,N,ALP,Labor,572,0.01
NSW,103,Banks,10,Padstow South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1082,-1.14
NSW,103,Banks,10,Padstow South,36774,SOON,Zhi,7,N,N,ALP,Labor,772,1.14
NSW,103,Banks,11,Panania,37018,COLEMAN,David,1,Y,Y,LP,Liberal,468,2.64
NSW,103,Banks,11,Panania,36774,SOON,Zhi,7,N,N,ALP,Labor,385,-2.64
NSW,103,Banks,12,Panania Central,37018,COLEMAN,David,1,Y,Y,LP,Liberal,555,1.38
NSW,103,Banks,12,Panania Central,36774,SOON,Zhi,7,N,N,ALP,Labor,398,-1.38
NSW,103,Banks,13,Panania North,37018,COLEMAN,David,1,Y,Y,LP,Liberal,865,3.16
NSW,103,Banks,13,Panania North,36774,SOON,Zhi,7,N,N,ALP,Labor,724,-3.16
NSW,103,Banks,14,Panania South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1108,-1.89
NSW,103,Banks,14,Panania South,36774,SOON,Zhi,7,N,N,ALP,Labor,833,1.89
NSW,103,Banks,16,Peakhurst East,37018,COLEMAN,David,1,Y,Y,LP,Liberal,830,1.5
NSW,103,Banks,16,Peakhurst East,36774,SOON,Zhi,7,N,N,ALP,Labor,742,-1.5
NSW,103,Banks,17,Peakhurst South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1030,-2.11
NSW,103,Banks,17,Peakhurst South,36774,SOON,Zhi,7,N,N,ALP,Labor,725,2.11
